topic_id,rank,word,score
4,15,pesawat,4340.860231927825
4,16,syarat,4144.02571909658
4,17,masuk,4077.2226083607466
4,18,akun,4025.3134774359696
4,19,data,3861.5318571509733
4,20,jadwal,3856.9606377249715
5,1,bagi,8062.491708800085
5,2,lain,7534.44920765133
5,3,kerja,7332.084327755389
5,4,diri,6973.192913987306
5,5,laku,6322.143742777243
5,6,hadap,6158.162404564132
5,7,hanya,5653.206689786278
5,8,rasa,5582.128506920094
5,9,namun,5557.869512890344
5,10,dunia,5401.429813115201
5,11,penting,5234.547228118364
5,12,beri,5166.348611325616
5,13,baik,5131.701131810057
5,14,sosial,5070.645322256407
5,15,media,4949.7313427526415
5,16,sama,4922.637323722692
5,17,hubung,4850.983707285748
5,18,baru,4726.3711691099115
5,19,turut,4627.360759553949
5,20,dia,4590.579981469217
6,1,fitur,7899.168169068197
6,2,baru,7450.72962065355
6,3,ponsel,6356.586637128476
6,4,tampil,6241.848484191791
6,5,kamera,6136.18260423449
6,6,hadir,5822.451139003298
6,7,iphone,5770.383173837318
6,8,layar,5752.541086129708
6,9,perangkat,5560.715832496343
6,10,harga,5500.504954449274
6,11,indonesia,5095.8867972901535
6,12,desain,4928.66891681754
6,13,samsung,4711.402951415746
6,14,bagi,4665.454954143929
6,15,model,4499.667875436946
6,16,pro,4417.922260558622
6,17,lengkap,4390.098899299953
6,18,galaxy,4283.657902510933
6,19,dukung,4044.7294991516446
6,20,serta,3980.86335535154
7,1,didik,14800.52825098123
7,2,program,14246.879746863951
7,3,indonesia,13737.45656260476
7,4,ajar,9886.458446293818
7,5,serta,9836.432765942347
7,6,sekolah,9096.922608221477
7,7,kerja,9013.789494340761
7,8,bagi,8816.738954227767
7,9,guru,8296.05762718567
7,10,menteri,8035.6705789386815
7,11,masyarakat,7289.148003542926
7,12,tinggi,6244.672663445609
7,13,beri,6118.236175107545
7,14,perintah,6049.27576780624
7,15,nasional,5851.912330915327
7,16,siswa,5540.971047085815
7,17,mahasiswa,5308.509247898559
7,18,lalu,5180.1299849111065
7,19,baik,5049.2108017667315
7,20,sama,4949.466337676769
8,1,indonesia,17410.646257810895
8,2,main,9010.819049519103
8,3,tim,6737.503568007859
8,4,latih,5945.762060457933
8,5,juara,5909.209700486762
8,6,olahraga,5538.993997445743
8,7,dunia,5390.992651255612
8,8,baik,5157.643537350548
8,9,gelar,5137.244988316706
8,10,menang,5106.704403184069
